lexicon,specific,word
sentiment,negative,cold
sentiment,negative,coldly
sentiment,negative,collapse
sentiment,negative,collude
sentiment,negative,collusion
sentiment,negative,combative
sentiment,negative,combust
sentiment,negative,comical
sentiment,negative,commiserate
sentiment,negative,commonplace
sentiment,negative,commotion
sentiment,negative,commotions
sentiment,negative,complacent
sentiment,negative,complain
sentiment,negative,complained
sentiment,negative,complaining
sentiment,negative,complains
sentiment,negative,complaint
sentiment,negative,complaints
sentiment,negative,complex
sentiment,negative,complicated
sentiment,negative,complication
sentiment,negative,complicit
sentiment,negative,compulsion
sentiment,negative,compulsive
sentiment,negative,concede
sentiment,negative,conceded
sentiment,negative,conceit
sentiment,negative,conceited
sentiment,negative,concen
sentiment,negative,concens
sentiment,negative,concern
sentiment,negative,concerned
sentiment,negative,concerns
sentiment,negative,concession
sentiment,negative,concessions
sentiment,negative,condemn
sentiment,negative,condemnable
sentiment,negative,condemnation
sentiment,negative,condemned
sentiment,negative,condemns
sentiment,negative,condescend
sentiment,negative,condescending
sentiment,negative,condescendingly
sentiment,negative,condescension
sentiment,negative,confess
sentiment,negative,confession
sentiment,negative,confessions
sentiment,negative,confined
sentiment,negative,conflict
sentiment,negative,conflicted
sentiment,negative,conflicting
sentiment,negative,conflicts
sentiment,negative,confound
sentiment,negative,confounded
sentiment,negative,confounding
sentiment,negative,confront
sentiment,negative,confrontation
sentiment,negative,confrontational
sentiment,negative,confuse
sentiment,negative,confused
sentiment,negative,confuses
sentiment,negative,confusing
sentiment,negative,confusion
sentiment,negative,confusions
sentiment,negative,congested
sentiment,negative,congestion
sentiment,negative,cons
sentiment,negative,conscons
sentiment,negative,conservative
sentiment,negative,conspicuous
sentiment,negative,conspicuously
sentiment,negative,conspiracies
sentiment,negative,conspiracy
sentiment,negative,conspirator
sentiment,negative,conspiratorial
sentiment,negative,conspire
sentiment,negative,consternation
sentiment,negative,contagious
sentiment,negative,contaminate
sentiment,negative,contaminated
sentiment,negative,contaminates
sentiment,negative,contaminating
sentiment,negative,contamination
sentiment,negative,contempt
sentiment,negative,contemptible
sentiment,negative,contemptuous
sentiment,negative,contemptuously
sentiment,negative,contend
sentiment,negative,contention
sentiment,negative,contentious
sentiment,negative,contort
sentiment,negative,contortions
sentiment,negative,contradict
sentiment,negative,contradiction
sentiment,negative,contradictory
sentiment,negative,contrariness
sentiment,negative,contravene
sentiment,negative,contrive
sentiment,negative,contrived
sentiment,negative,controversial
sentiment,negative,controversy
sentiment,negative,convoluted
sentiment,negative,corrode
sentiment,negative,corrosion
sentiment,negative,corrosions
sentiment,negative,corrosive
sentiment,negative,corrupt
sentiment,negative,corrupted
sentiment,negative,corrupting
sentiment,negative,corruption
sentiment,negative,corrupts
sentiment,negative,corruptted
sentiment,negative,costlier
sentiment,negative,costly
sentiment,negative,counter-productive
sentiment,negative,counterproductive
sentiment,negative,coupists
sentiment,negative,covetous
sentiment,negative,coward
sentiment,negative,cowardly
sentiment,negative,crabby
sentiment,negative,crack
sentiment,negative,cracked
sentiment,negative,cracks
sentiment,negative,craftily
sentiment,negative,craftly
sentiment,negative,crafty
sentiment,negative,cramp
sentiment,negative,cramped
sentiment,negative,cramping
sentiment,negative,cranky
sentiment,negative,crap
sentiment,negative,crappy
sentiment,negative,craps
sentiment,negative,crash
sentiment,negative,crashed
sentiment,negative,crashes
sentiment,negative,crashing
sentiment,negative,crass
sentiment,negative,craven
sentiment,negative,cravenly
sentiment,negative,craze
sentiment,negative,crazily
sentiment,negative,craziness
sentiment,negative,crazy
sentiment,negative,creak
sentiment,negative,creaking
sentiment,negative,creaks
sentiment,negative,credulous
sentiment,negative,creep
sentiment,negative,creeping
sentiment,negative,creeps
sentiment,negative,creepy
sentiment,negative,crept
sentiment,negative,crime
sentiment,negative,criminal
sentiment,negative,cringe
sentiment,negative,cringed
sentiment,negative,cringes
