Dumped model
['perspective_score', 'stanford_polite']
Looping through test_issues
Idris-dev/idris-lang/3829 0
wire-server/wireapp/126 0
Idris-dev/idris-lang/1961 0
yesod/yesodweb/986 0
stack/commercialhaskell/4287 0
wire-server/wireapp/124 0
Idris-dev/idris-lang/1960 0
Idris-dev/idris-lang/1071 0
stack/commercialhaskell/4286 0
Idris-dev/idris-lang/1072 0
Idris-dev/idris-lang/2000 0
Idris-dev/idris-lang/3869 0
wire-server/wireapp/227 0
yesod/yesodweb/504 0
Idris-dev/idris-lang/3912 0
Idris-dev/idris-lang/2044 0
wire-server/wireapp/316 0
Idris-dev/idris-lang/1193 0
yesod/yesodweb/1046 0
Idris-dev/idris-lang/2888 0
Idris-dev/idris-lang/1192 0
Idris-dev/idris-lang/3911 0
yesod/yesodweb/503 0
Idris-dev/idris-lang/2886 0
wire-server/wireapp/315 0
Idris-dev/idris-lang/1191 0
yesod/yesodweb/502 0
Idris-dev/idris-lang/2885 0
Idris-dev/idris-lang/3909 0
Idris-dev/idris-lang/2043 0
Idris-dev/idris-lang/1190 0
stack/commercialhaskell/4358 0
wire-server/wireapp/312 0
Idris-dev/idris-lang/2869 0
Idris-dev/idris-lang/3908 0
Idris-dev/idris-lang/1189 0
yesod/yesodweb/501 0
Idris-dev/idris-lang/2868 0
Idris-dev/idris-lang/2889 0
Idris-dev/idris-lang/2045 0
Idris-dev/idris-lang/1194 0
stack/commercialhaskell/4359 0
wire-server/wireapp/323 0
yesod/yesodweb/1050 0
Idris-dev/idris-lang/3916 0
yesod/yesodweb/508 0
Idris-dev/idris-lang/2048 0
yesod/yesodweb/1049 0
wire-server/wireapp/322 0
Idris-dev/idris-lang/3915 0
wire-server/wireapp/321 0
yesod/yesodweb/507 0
Idris-dev/idris-lang/2895 0
yesod/yesodweb/1048 0
yesod/yesodweb/1045 0
Idris-dev/idris-lang/2894 0
Idris-dev/idris-lang/3914 0
Idris-dev/idris-lang/2893 0
Idris-dev/idris-lang/2047 0
wire-server/wireapp/319 0
Idris-dev/idris-lang/3913 0
Idris-dev/idris-lang/2892 0
yesod/yesodweb/506 0
yesod/yesodweb/1047 0
Idris-dev/idris-lang/1197 0
wire-server/wireapp/318 0
Idris-dev/idris-lang/2890 0
yesod/yesodweb/505 0
wire-server/wireapp/320 0
yesod/yesodweb/509 0
wire-server/wireapp/311 0
yesod/yesodweb/500 0
Idris-dev/idris-lang/2038 0
wire-server/wireapp/305 0
Idris-dev/idris-lang/2854 0
stack/commercialhaskell/4353 0
yesod/yesodweb/496 0
Idris-dev/idris-lang/2853 0
Idris-dev/idris-lang/2037 0
yesod/yesodweb/1039 0
wire-server/wireapp/303 0
stack/commercialhaskell/4352 0
Idris-dev/idris-lang/1181 0
Idris-dev/idris-lang/1180 0
Idris-dev/idris-lang/2852 0
wire-server/wireapp/300 0
Idris-dev/idris-lang/2036 0
yesod/yesodweb/495 0
yesod/yesodweb/1038 0
Idris-dev/idris-lang/1179 0
Idris-dev/idris-lang/2849 0
wire-server/wireapp/297 0
stack/commercialhaskell/4351 0
Idris-dev/idris-lang/2035 0
yesod/yesodweb/494 0
Idris-dev/idris-lang/3904 0
Idris-dev/idris-lang/1176 0
Idris-dev/idris-lang/1182 0
yesod/yesodweb/1040 0
yesod/yesodweb/497 0
Idris-dev/idris-lang/2855 0
